2020-01-12 16:56:40.116 INFO  [main] [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] 308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.xiaozipu.client.banner.RecommendProductTest], using SpringBootContextLoader
2020-01-12 16:56:40.146 INFO  [main] [org.springframework.test.context.support.AbstractContextLoader] 264 - Could not detect default resource locations for test class [com.xiaozipu.client.banner.RecommendProductTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-01-12 16:56:40.160 INFO  [main] [org.springframework.test.context.support.AnnotationConfigContextLoaderUtils] 83 - Could not detect default configuration classes for test class [com.xiaozipu.client.banner.RecommendProductTest]: RecommendProductTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-01-12 16:56:40.668 INFO  [main] [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] 235 - Found @SpringBootConfiguration com.xiaozipu.client.XzpClientApplication for test class com.xiaozipu.client.banner.RecommendProductTest
2020-01-12 16:56:40.897 INFO  [main] [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] 248 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-01-12 16:56:40.941 INFO  [main] [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] 177 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@319bc845, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4c5474f5, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2f4205be, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@54e22bdd, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3bd418e4, org.springframework.test.context.transaction.TransactionalTestExecutionListener@544820b7, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6b98a075, org.springframework.test.context.event.EventPublishingTestExecutionListener@2e61d218, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3569fc08, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@20b12f8a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@e84a8e1, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2e554a3b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@54a67a45]
2020-01-12 16:56:42.105 INFO  [main] [com.xiaozipu.client.banner.RecommendProductTest] 55 - Starting RecommendProductTest on yinjunjie with PID 12912 (started by yjj in D:\code\java\private\xiaozipu-api\xiaozipu-client)
2020-01-12 16:56:42.108 INFO  [main] [com.xiaozipu.client.banner.RecommendProductTest] 655 - The following profiles are active: dev,config/config-dev
2020-01-12 16:56:44.184 INFO  [main] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] 244 - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-01-12 16:56:44.193 INFO  [main] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] 126 - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-01-12 16:56:44.244 INFO  [main] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] 182 - Finished Spring Data repository scanning in 19ms. Found 0 repository interfaces.
