2020-01-23 18:42:43.580 INFO  [main] [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] 308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.xiaozipu.client.banner.TestAliyun], using SpringBootContextLoader
2020-01-23 18:42:43.601 INFO  [main] [org.springframework.test.context.support.AbstractContextLoader] 264 - Could not detect default resource locations for test class [com.xiaozipu.client.banner.TestAliyun]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-01-23 18:42:43.603 INFO  [main] [org.springframework.test.context.support.AnnotationConfigContextLoaderUtils] 83 - Could not detect default configuration classes for test class [com.xiaozipu.client.banner.TestAliyun]: TestAliyun does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-01-23 18:42:44.064 INFO  [main] [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] 235 - Found @SpringBootConfiguration com.xiaozipu.client.XzpClientApplication for test class com.xiaozipu.client.banner.TestAliyun
2020-01-23 18:42:44.417 INFO  [main] [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] 248 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-01-23 18:42:44.502 INFO  [main] [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] 177 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@68044f4, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@52d239ba, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@315f43d5, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@68fa0ba8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6c5945a7, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2f05be7f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@640f11a1, org.springframework.test.context.event.EventPublishingTestExecutionListener@5c10f1c3, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7ac2e39b, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@78365cfa, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@64a8c844, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3f6db3fb, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@52de51b6]
2020-01-23 18:42:46.330 INFO  [main] [com.xiaozipu.client.banner.TestAliyun] 55 - Starting TestAliyun on yinjunjie with PID 14400 (started by yjj in D:\code\java\private\xiaozipu-api\xiaozipu-client)
2020-01-23 18:42:46.331 INFO  [main] [com.xiaozipu.client.banner.TestAliyun] 655 - The following profiles are active: dev,config/config-dev
2020-01-23 18:42:50.011 INFO  [main] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] 244 - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-01-23 18:42:50.051 INFO  [main] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] 126 - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-01-23 18:42:50.125 INFO  [main] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] 182 - Finished Spring Data repository scanning in 24ms. Found 0 repository interfaces.
2020-01-23 18:42:51.615 INFO  [main] [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] 330 - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-01-23 18:42:53.170 INFO  [main] [com.xiaozipu.client.config.RedisTemplateConfig] 43 - redisConnectionFactory is LettuceConnectionFactory
2020-01-23 18:42:53.171 INFO  [main] [com.xiaozipu.client.config.RedisTemplateConfig] 45 - redis configuration timeout:60000
2020-01-23 18:42:53.898 INFO  [main] [com.zaxxer.hikari.HikariDataSource] 110 - xzpHikariCP - Starting...
2020-01-23 18:42:54.580 INFO  [main] [com.zaxxer.hikari.HikariDataSource] 123 - xzpHikariCP - Start completed.
2020-01-23 18:42:55.610 INFO  [main] [com.zaxxer.hikari.HikariDataSource] 350 - xzpHikariCP - Shutdown initiated...
2020-01-23 18:42:55.628 INFO  [main] [com.zaxxer.hikari.HikariDataSource] 352 - xzpHikariCP - Shutdown completed.
2020-01-23 18:42:55.731 INFO  [main] [org.springframework.boot.autoconfigure.logging.ConditionEvaluationReportLoggingListener] 136 - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-01-23 18:57:49.125 INFO  [main] [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] 308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.xiaozipu.client.banner.TestAliyun], using SpringBootContextLoader
2020-01-23 18:57:49.150 INFO  [main] [org.springframework.test.context.support.AbstractContextLoader] 264 - Could not detect default resource locations for test class [com.xiaozipu.client.banner.TestAliyun]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-01-23 18:57:49.152 INFO  [main] [org.springframework.test.context.support.AnnotationConfigContextLoaderUtils] 83 - Could not detect default configuration classes for test class [com.xiaozipu.client.banner.TestAliyun]: TestAliyun does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-01-23 18:57:49.444 INFO  [main] [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] 235 - Found @SpringBootConfiguration com.xiaozipu.client.XzpClientApplication for test class com.xiaozipu.client.banner.TestAliyun
2020-01-23 18:57:49.911 INFO  [main] [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] 248 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-01-23 18:57:49.960 INFO  [main] [org.springframework.boot.test.context.SpringBootTestContextBootstrapper] 177 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4d5b6aac, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3e84448c, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4a7f959b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@429bffaa, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5403f35f, org.springframework.test.context.transaction.TransactionalTestExecutionListener@483f6d77, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7e5afaa6, org.springframework.test.context.event.EventPublishingTestExecutionListener@63a12c68, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@28f3b248, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1b1426f4, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@32b260fa, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@581ac8a8, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6d4e5011]
2020-01-23 18:57:51.283 INFO  [main] [com.xiaozipu.client.banner.TestAliyun] 55 - Starting TestAliyun on yinjunjie with PID 10088 (started by yjj in D:\code\java\private\xiaozipu-api\xiaozipu-client)
2020-01-23 18:57:51.286 INFO  [main] [com.xiaozipu.client.banner.TestAliyun] 655 - The following profiles are active: config-dev,dev
2020-01-23 18:57:54.753 INFO  [main] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] 244 - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-01-23 18:57:54.759 INFO  [main] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] 126 - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-01-23 18:57:54.814 INFO  [main] [org.springframework.data.repository.config.RepositoryConfigurationDelegate] 182 - Finished Spring Data repository scanning in 28ms. Found 0 repository interfaces.
2020-01-23 18:57:55.644 INFO  [main] [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] 330 - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-01-23 18:57:57.051 INFO  [main] [com.xiaozipu.client.config.RedisTemplateConfig] 43 - redisConnectionFactory is LettuceConnectionFactory
2020-01-23 18:57:57.052 INFO  [main] [com.xiaozipu.client.config.RedisTemplateConfig] 45 - redis configuration timeout:60000
2020-01-23 18:57:57.824 INFO  [main] [com.zaxxer.hikari.HikariDataSource] 110 - xzpHikariCP - Starting...
2020-01-23 18:57:58.134 INFO  [main] [com.zaxxer.hikari.HikariDataSource] 123 - xzpHikariCP - Start completed.
2020-01-23 18:58:00.556 INFO  [main] [springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping] 69 - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-01-23 18:58:01.432 INFO  [main] [org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor] 171 - Initializing ExecutorService 'applicationTaskExecutor'
2020-01-23 18:58:03.310 INFO  [main] [springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper] 160 - Context refreshed
2020-01-23 18:58:03.465 INFO  [main] [springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper] 163 - Found 1 custom documentation plugin(s)
2020-01-23 18:58:03.562 INFO  [main] [springfox.documentation.spring.web.scanners.ApiListingReferenceScanner] 41 - Scanning for api listing references
2020-01-23 18:58:04.305 INFO  [main] [com.xiaozipu.client.banner.TestAliyun] 61 - Started TestAliyun in 14.164 seconds (JVM running for 17.407)
